S.No,Name,Address,Google Maps Link,Number of Students,Has Website,Sellable (Y/N),Reason
1,Dini International School,"Ranapur, Sam Chakand Road, Chakand, Gaya, Bihar 804404",https://www.google.com/maps/place/?q=place_id:ChIJk6u7JF7U8jkRo9ggldNctdE,Not listed on Maps (~380-400 est. per iCBSE archive),Yes (disgaya.in),N,Already has an active official website (disgaya.in) - not a sales prospect
2,Akash International Public School,"Sam Chakand Road, Chakand, Gaya, Bihar 804404",https://www.google.com/maps/place/?q=place_id:ChIJUXsPN13U8jkRXArdCgscExU,Not listed on Maps,No,Y,No website found on Maps or web search - strong prospect for a school website
3,National Public School (Chakand/Naugarh),"Chakan, Belaganj, Naugarh, Bihar 804404",https://www.google.com/maps/place/?q=place_id:ChIJ2eF6fm_U8jkRELaXbr-zzpk,Not listed on Maps,Yes (npschakand.org),N,Already has an official website - not a sales prospect
4,+2 High School Chakand,"VXXR+G3J, Chakand, Bihar 804404",https://www.google.com/maps/place/?q=place_id:ChIJoVX2kHzV8jkRxlj_ztKuH_M,Not listed on Maps,No,N,Government-run school - unlikely to purchase a commercial website
5,EduNext Training Academy,"Gaya-Patna Main Rd, near +2 High School, Chakand, Bihar 804404",https://www.google.com/maps/place/?q=place_id:ChIJCedw1fLU8jkRhsemgh4U3PE,Not listed on Maps,No,Y,Computer/skills training academy with no website found - good prospect
6,P S Gangapur (Primary School),"VXMX+QCG, Gangapur, Bihar 804404",https://www.google.com/maps/place/?q=place_id:ChIJZzFyNofV8jkRqqB9CI61Xeg,Not listed on Maps,No,N,Government primary school - unlikely to purchase a commercial website
7,DPCF School,"VXQW+33Q, Gangapur, Bihar 804404",https://www.google.com/maps/place/?q=place_id:ChIJt9x7pEPU8jkRhnePy1FoPOk,Not listed on Maps,No,Y,No website found - private school, good prospect
8,Munna Mathematics Centre,"Near Railway Gumty, Gangapur, Chakand, Gaya, Bihar 804404",https://www.google.com/maps/place/?q=place_id:ChIJO8QZ1bTV8jkRZYLJRfxzKF4,Not listed on Maps,No,Y,Small local coaching centre, no website found - prospect
9,Brilliant Public High School,"XX59+8WJ, Belaganj, Paranpur, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJ_____-TS8jkRV499EfcV8fM,Not listed on Maps,Yes (brilliantpublichighschool.com),N,Already has an official website - not a sales prospect
10,Gyan Ganga Residential Public School,"Silaunja, Belaganj, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJ-88CUnHT8jkRTmOg6gpTwNc,Not listed on Maps,No (Facebook page only),Y,No dedicated website - only a Facebook page - good prospect
11,Pragya Bharti Public School (Belaganj),"XXHF+4P8, Station Rd, Belaganj, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJzVpKdnTT8jkRwMR6umSESQo,Not listed on Maps,Not found (a same-named school in Manpur has one; this Belaganj branch does not),Y,No website found specific to this Belaganj branch - prospect
12,Adarsh Madhya School,"NH-83, Patna Gaya Road, Belaganj, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJM8h09fvS8jkRVyjlmRSaUXw,Not listed on Maps,No,N,Government middle school - unlikely to purchase a commercial website
13,Al Ameen Public School (Bajitpur),"XXCC+QGH, Bazit Pur, Belaganj, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJ2xm-9u_S8jkRZGRK8enbBDU,Not listed on Maps,No,Y,No website found - prospect
14,Gyan Bharti Global School,"Vill Ore, Chakand, Belaganj, Gaya, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJSYFM3ZzT8jkRrrsy6gCyDQM,Not listed on Maps,Yes (gyanbhartiglobalschools.com/.in),N,Already has an official website - not a sales prospect
15,Nagalal Agrawal Middle School Bela,"XXGF+R45, Station Rd, Belaganj, Jadopur, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJNby9tPHS8jkRHOXDAkgE7S4,Not listed on Maps,No,N,Government-recognised middle school - unlikely to purchase a commercial website
16,Belaganj Kidzee,"XXCG+945, Belaganj, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJM0DvyvvS8jkRJkGJJIKHXTk,Not listed on Maps,Yes (part of Kidzee national franchise - kidzee.com),N,Belongs to Kidzee franchise which already has a national website - not an independent prospect
17,JVN Public School,"Bela Paraw, Belaganj, Gaya, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJ8zDX9YXR8jkRA4RjFmryk5k,Not listed on Maps,No,Y,No dedicated website found (only directory listings) - good prospect
18,Jeevan Deep Public School (Belaganj),"Near Railway Station, Belaganj, Amar Bigha, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJZRPyisbT8jkR1g17-xPmECA,Not listed on Maps,No,Y,No website found (distinct from a similarly named Nawada school) - prospect
19,Pooja Tutorial Classes,"Hanuman Nagar, behind Dakbangla, Belaganj, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJg6SIZfzS8jkR3_z9SqkiwWs,Not listed on Maps,No,Y,Small local coaching centre, no website found - prospect
20,Pragya Classes Belaganj,"Bela-Nimchak Rd, Belaganj, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJ8YJtNpTT8jkRbu6-hCWTQLc,Not listed on Maps,No,Y,Small local coaching centre, no website found - prospect
21,Pioneer Coaching Classes,"Asha Complex, NH-83, Belaganj, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJvUS_bADT8jkR3Ls--2OTR-4,Not listed on Maps,No,Y,Small local coaching centre, no website found - prospect
22,Hargharshiksha Academy (Belaganj),"XXCF+4H6, Belaganj, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJXV9Xl27T8jkRD66k4Dd8KCg,Not listed on Maps,No,Y,No dedicated website found (only Facebook/review pages) - good prospect
23,The Knowledge Point (Raaj Classes),"XXC9+7GR, Belaganj, Bihar 804403",https://www.google.com/maps/place/?q=place_id:ChIJjWYJ0dHT8jkRHO7qdFQzz6c,Not listed on Maps,No,Y,Small local coaching centre, no website found - prospect
24,GD Kids School,"Bihar Makhdumpur Laraua, market, Makhdumpur, Bihar 804422",https://www.google.com/maps/place/?q=place_id:ChIJseezO_3N8jkRqavrjYumI1U,Not listed on Maps,No,Y,No website found - well-reviewed local school, good prospect
25,Gyan Deep Public School (Makhdumpur),"Jahanabad, NH 83, Makhdumpur, Bihar 804422",https://www.google.com/maps/place/?q=place_id:ChIJIYFUzO_M8jkRZxjyuOpptUg,Not listed on Maps,No,Y,No website found (distinct from Gyan Deep Public School, Kendui, Gaya) - prospect
26,High School Makhdumpur Jehanabad,"3XGC+GRW, Makhdumpur, Bihar 804422",https://www.google.com/maps/place/?q=place_id:ChIJBdspcPLM8jkRggJTYyXP1lM,Not listed on Maps,No,N,Government secondary school - unlikely to purchase a commercial website
27,Divine Origination School,"Near railway station, Sagarpur, Makhdumpur, Bihar 804422",https://www.google.com/maps/place/?q=place_id:ChIJl4W9YZbN8jkRXNi5-A1brVg,Not listed on Maps,No,Y,No website found - well-reviewed local school, good prospect
28,Makhdumpur Project Girls High School,"Block Development Office, Makhdumpur, Bihar 804422",https://www.google.com/maps/place/?q=place_id:ChIJ1ekzE_LM8jkRlhmEql8jMWw,Not listed on Maps,No,N,Government girls' school - unlikely to purchase a commercial website
